# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 28
segment_1: start_time=0.400000s, end_time=1.269333s, duration=0.869333s
segment_2: start_time=1.306667s, end_time=1.909333s, duration=0.602667s
segment_3: start_time=1.968000s, end_time=1.978667s, duration=0.010667s
segment_4: start_time=2.805333s, end_time=2.986667s, duration=0.181333s
segment_5: start_time=3.002667s, end_time=3.354667s, duration=0.352000s
segment_6: start_time=4.304000s, end_time=4.496000s, duration=0.192000s
segment_7: start_time=4.506667s, end_time=4.853333s, duration=0.346667s
segment_8: start_time=5.792000s, end_time=6.058667s, duration=0.266667s
segment_9: start_time=6.069333s, end_time=6.394667s, duration=0.325333s
segment_10: start_time=7.322667s, end_time=7.578667s, duration=0.256000s
segment_11: start_time=7.632000s, end_time=7.952000s, duration=0.320000s
segment_12: start_time=8.880000s, end_time=9.120000s, duration=0.240000s
segment_13: start_time=9.130667s, end_time=9.477333s, duration=0.346667s
segment_14: start_time=10.330667s, end_time=10.602667s, duration=0.272000s
segment_15: start_time=10.640000s, end_time=10.938667s, duration=0.298667s
segment_16: start_time=11.845333s, end_time=12.144000s, duration=0.298667s
segment_17: start_time=12.176000s, end_time=12.480000s, duration=0.304000s
segment_18: start_time=13.450667s, end_time=14.074667s, duration=0.624000s
segment_19: start_time=14.357333s, end_time=14.378667s, duration=0.021333s
segment_20: start_time=14.426667s, end_time=14.501333s, duration=0.074667s
segment_21: start_time=15.008000s, end_time=15.258667s, duration=0.250667s
segment_22: start_time=15.290667s, end_time=15.669333s, duration=0.378667s
segment_23: start_time=16.042667s, end_time=16.064000s, duration=0.021333s
segment_24: start_time=16.213333s, end_time=16.224000s, duration=0.010667s
segment_25: start_time=16.234667s, end_time=16.261333s, duration=0.026667s
segment_26: start_time=16.277333s, end_time=16.293333s, duration=0.016000s
segment_27: start_time=16.304000s, end_time=16.325333s, duration=0.021333s
segment_28: start_time=16.336000s, end_time=17.050667s, duration=0.714667s
mean_duration = 0.272952s
