# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 28
segment_1: start_time=0.405333s, end_time=1.162667s, duration=0.757333s
segment_2: start_time=1.184000s, end_time=1.365333s, duration=0.181333s
segment_3: start_time=1.376000s, end_time=1.397333s, duration=0.021333s
segment_4: start_time=1.408000s, end_time=1.429333s, duration=0.021333s
segment_5: start_time=1.445333s, end_time=2.021333s, duration=0.576000s
segment_6: start_time=2.336000s, end_time=2.362667s, duration=0.026667s
segment_7: start_time=2.469333s, end_time=2.485333s, duration=0.016000s
segment_8: start_time=2.986667s, end_time=3.178667s, duration=0.192000s
segment_9: start_time=3.189333s, end_time=3.541333s, duration=0.352000s
segment_10: start_time=4.650667s, end_time=4.794667s, duration=0.144000s
segment_11: start_time=4.826667s, end_time=5.157333s, duration=0.330667s
segment_12: start_time=6.160000s, end_time=6.346667s, duration=0.186667s
segment_13: start_time=6.373333s, end_time=6.698667s, duration=0.325333s
segment_14: start_time=7.696000s, end_time=7.840000s, duration=0.144000s
segment_15: start_time=7.888000s, end_time=8.218667s, duration=0.330667s
segment_16: start_time=9.226667s, end_time=9.397333s, duration=0.170667s
segment_17: start_time=9.434667s, end_time=9.744000s, duration=0.309333s
segment_18: start_time=10.778667s, end_time=10.917333s, duration=0.138667s
segment_19: start_time=10.944000s, end_time=11.269333s, duration=0.325333s
segment_20: start_time=11.754667s, end_time=11.781333s, duration=0.026667s
segment_21: start_time=12.330667s, end_time=12.458667s, duration=0.128000s
segment_22: start_time=12.490667s, end_time=12.826667s, duration=0.336000s
segment_23: start_time=13.914667s, end_time=14.069333s, duration=0.154667s
segment_24: start_time=14.085333s, end_time=14.442667s, duration=0.357333s
segment_25: start_time=15.445333s, end_time=15.626667s, duration=0.181333s
segment_26: start_time=15.653333s, end_time=16.133333s, duration=0.480000s
segment_27: start_time=16.144000s, end_time=16.154667s, duration=0.010667s
segment_28: start_time=16.181333s, end_time=17.072000s, duration=0.890667s
mean_duration = 0.254095s
