# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: sakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 14
segment_1: start_time=0.373333s, end_time=1.786667s, duration=1.413333s
segment_2: start_time=2.650667s, end_time=2.698667s, duration=0.048000s
segment_3: start_time=2.768000s, end_time=3.296000s, duration=0.528000s
segment_4: start_time=4.373333s, end_time=4.896000s, duration=0.522667s
segment_5: start_time=5.941333s, end_time=6.464000s, duration=0.522667s
segment_6: start_time=7.514667s, end_time=8.037333s, duration=0.522667s
segment_7: start_time=9.045333s, end_time=9.541333s, duration=0.496000s
segment_8: start_time=10.149333s, end_time=10.160000s, duration=0.010667s
segment_9: start_time=10.506667s, end_time=10.997333s, duration=0.490667s
segment_10: start_time=11.898667s, end_time=12.442667s, duration=0.544000s
segment_11: start_time=13.552000s, end_time=14.090667s, duration=0.538667s
segment_12: start_time=14.885333s, end_time=15.056000s, duration=0.170667s
segment_13: start_time=15.146667s, end_time=15.706667s, duration=0.560000s
segment_14: start_time=16.096000s, end_time=16.944000s, duration=0.848000s
mean_duration = 0.515429s
