# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/takana1.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=0.384000s, end_time=1.840000s, duration=1.456000s
segment_2: start_time=2.805333s, end_time=2.960000s, duration=0.154667s
segment_3: start_time=2.986667s, end_time=3.312000s, duration=0.325333s
segment_4: start_time=4.405333s, end_time=4.533333s, duration=0.128000s
segment_5: start_time=4.581333s, end_time=4.890667s, duration=0.309333s
segment_6: start_time=5.952000s, end_time=6.090667s, duration=0.138667s
segment_7: start_time=6.122667s, end_time=6.442667s, duration=0.320000s
segment_8: start_time=7.440000s, end_time=7.557333s, duration=0.117333s
segment_9: start_time=7.600000s, end_time=7.941333s, duration=0.341333s
segment_10: start_time=8.986667s, end_time=9.104000s, duration=0.117333s
segment_11: start_time=9.152000s, end_time=9.477333s, duration=0.325333s
segment_12: start_time=10.538667s, end_time=11.082667s, duration=0.544000s
segment_13: start_time=12.064000s, end_time=12.085333s, duration=0.021333s
segment_14: start_time=12.144000s, end_time=12.250667s, duration=0.106667s
segment_15: start_time=12.288000s, end_time=12.624000s, duration=0.336000s
segment_16: start_time=13.658667s, end_time=13.760000s, duration=0.101333s
segment_17: start_time=13.797333s, end_time=14.138667s, duration=0.341333s
segment_18: start_time=14.800000s, end_time=14.821333s, duration=0.021333s
segment_19: start_time=15.253333s, end_time=15.760000s, duration=0.506667s
segment_20: start_time=15.962667s, end_time=16.005333s, duration=0.042667s
segment_21: start_time=16.112000s, end_time=16.821333s, duration=0.709333s
mean_duration = 0.307810s
