# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/shakana4.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=0.357333s, end_time=1.562667s, duration=1.205333s
segment_2: start_time=1.605333s, end_time=1.973333s, duration=0.368000s
segment_3: start_time=2.778667s, end_time=2.976000s, duration=0.197333s
segment_4: start_time=2.986667s, end_time=3.370667s, duration=0.384000s
segment_5: start_time=4.288000s, end_time=4.885333s, duration=0.597333s
segment_6: start_time=5.781333s, end_time=6.410667s, duration=0.629333s
segment_7: start_time=7.344000s, end_time=7.509333s, duration=0.165333s
segment_8: start_time=7.536000s, end_time=7.893333s, duration=0.357333s
segment_9: start_time=8.821333s, end_time=9.008000s, duration=0.186667s
segment_10: start_time=9.045333s, end_time=9.402667s, duration=0.357333s
segment_11: start_time=10.384000s, end_time=10.549333s, duration=0.165333s
segment_12: start_time=10.576000s, end_time=10.944000s, duration=0.368000s
segment_13: start_time=11.952000s, end_time=12.522667s, duration=0.570667s
segment_14: start_time=13.333333s, end_time=13.392000s, duration=0.058667s
segment_15: start_time=13.536000s, end_time=13.728000s, duration=0.192000s
segment_16: start_time=13.749333s, end_time=14.128000s, duration=0.378667s
segment_17: start_time=14.954667s, end_time=14.965333s, duration=0.010667s
segment_18: start_time=14.976000s, end_time=15.013333s, duration=0.037333s
segment_19: start_time=15.029333s, end_time=15.258667s, duration=0.229333s
segment_20: start_time=15.285333s, end_time=15.680000s, duration=0.394667s
segment_21: start_time=15.952000s, end_time=16.773333s, duration=0.821333s
mean_duration = 0.365460s
