# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: takana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 27
segment_1: start_time=0.368000s, end_time=1.946667s, duration=1.578667s
segment_2: start_time=2.320000s, end_time=2.362667s, duration=0.042667s
segment_3: start_time=2.480000s, end_time=2.501333s, duration=0.021333s
segment_4: start_time=2.570667s, end_time=2.624000s, duration=0.053333s
segment_5: start_time=2.645333s, end_time=2.698667s, duration=0.053333s
segment_6: start_time=2.725333s, end_time=2.768000s, duration=0.042667s
segment_7: start_time=2.880000s, end_time=3.098667s, duration=0.218667s
segment_8: start_time=3.120000s, end_time=3.482667s, duration=0.362667s
segment_9: start_time=4.544000s, end_time=5.072000s, duration=0.528000s
segment_10: start_time=6.112000s, end_time=6.634667s, duration=0.522667s
segment_11: start_time=7.317333s, end_time=7.360000s, duration=0.042667s
segment_12: start_time=7.637333s, end_time=7.770667s, duration=0.133333s
segment_13: start_time=7.813333s, end_time=8.160000s, duration=0.346667s
segment_14: start_time=9.168000s, end_time=9.306667s, duration=0.138667s
segment_15: start_time=9.328000s, end_time=9.680000s, duration=0.352000s
segment_16: start_time=10.730667s, end_time=11.258667s, duration=0.528000s
segment_17: start_time=12.149333s, end_time=12.218667s, duration=0.069333s
segment_18: start_time=12.330667s, end_time=12.890667s, duration=0.560000s
segment_19: start_time=13.658667s, end_time=13.706667s, duration=0.048000s
segment_20: start_time=13.781333s, end_time=13.797333s, duration=0.016000s
segment_21: start_time=13.808000s, end_time=13.840000s, duration=0.032000s
segment_22: start_time=13.877333s, end_time=14.048000s, duration=0.170667s
segment_23: start_time=14.085333s, end_time=14.442667s, duration=0.357333s
segment_24: start_time=15.018667s, end_time=15.029333s, duration=0.010667s
segment_25: start_time=15.066667s, end_time=15.098667s, duration=0.032000s
segment_26: start_time=15.189333s, end_time=15.994667s, duration=0.805333s
segment_27: start_time=16.330667s, end_time=17.050667s, duration=0.720000s
mean_duration = 0.288395s
