# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/tyakana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 28
segment_1: start_time=0.368000s, end_time=1.594667s, duration=1.226667s
segment_2: start_time=1.605333s, end_time=1.994667s, duration=0.389333s
segment_3: start_time=2.794667s, end_time=2.810667s, duration=0.016000s
segment_4: start_time=2.816000s, end_time=3.013333s, duration=0.197333s
segment_5: start_time=3.061333s, end_time=3.450667s, duration=0.389333s
segment_6: start_time=4.325333s, end_time=4.485333s, duration=0.160000s
segment_7: start_time=4.517333s, end_time=4.944000s, duration=0.426667s
segment_8: start_time=5.840000s, end_time=6.016000s, duration=0.176000s
segment_9: start_time=6.048000s, end_time=6.421333s, duration=0.373333s
segment_10: start_time=7.370667s, end_time=7.504000s, duration=0.133333s
segment_11: start_time=7.546667s, end_time=7.962667s, duration=0.416000s
segment_12: start_time=8.906667s, end_time=9.061333s, duration=0.154667s
segment_13: start_time=9.098667s, end_time=9.525333s, duration=0.426667s
segment_14: start_time=10.469333s, end_time=10.608000s, duration=0.138667s
segment_15: start_time=10.645333s, end_time=11.029333s, duration=0.384000s
segment_16: start_time=11.978667s, end_time=12.122667s, duration=0.144000s
segment_17: start_time=12.170667s, end_time=12.576000s, duration=0.405333s
segment_18: start_time=13.274667s, end_time=13.312000s, duration=0.037333s
segment_19: start_time=13.354667s, end_time=13.450667s, duration=0.096000s
segment_20: start_time=13.477333s, end_time=14.165333s, duration=0.688000s
segment_21: start_time=14.533333s, end_time=14.544000s, duration=0.010667s
segment_22: start_time=14.666667s, end_time=14.688000s, duration=0.021333s
segment_23: start_time=14.800000s, end_time=14.997333s, duration=0.197333s
segment_24: start_time=15.056000s, end_time=15.717333s, duration=0.661333s
segment_25: start_time=15.786667s, end_time=15.797333s, duration=0.010667s
segment_26: start_time=15.808000s, end_time=15.872000s, duration=0.064000s
segment_27: start_time=15.893333s, end_time=15.962667s, duration=0.069333s
segment_28: start_time=15.968000s, end_time=16.725333s, duration=0.757333s
mean_duration = 0.291810s
