epoch,train_loss,val_loss,val_acc
2,0.637230,0.690239,0.555556
3,0.512023,0.706996,0.555556
4,0.402944,0.771151,0.555556
5,0.342182,0.791724,0.555556
6,0.318710,0.773361,0.555556
7,0.224235,0.752309,0.555556
8,0.229289,0.715392,0.555556
9,0.191818,0.746060,0.555556
10,0.155680,0.654061,0.555556
11,0.173747,0.625861,0.555556
12,0.159831,0.621594,0.555556
13,0.312138,0.607983,0.555556
14,0.108968,0.990873,0.555556
15,0.209877,0.690051,0.555556
16,0.095873,0.469233,0.888889
17,0.148714,0.437251,0.888889
18,0.125605,0.523716,0.666667
19,0.075029,0.465972,0.777778
20,0.072173,0.545129,0.555556
21,0.055814,0.842632,0.555556
22,0.059366,0.686112,0.555556
23,0.219031,0.380279,0.777778
24,0.061872,0.200990,1.000000
25,0.084744,0.144743,1.000000
26,0.044549,0.341166,0.888889
27,0.046182,0.494940,0.666667
28,0.042654,0.227424,0.888889
29,0.035743,0.282988,0.888889
30,0.032767,0.319108,0.888889
31,0.126385,0.998021,0.555556
32,0.045328,0.290064,0.888889
33,0.030587,0.181553,0.888889
34,0.031972,0.371096,0.888889
35,0.025093,1.427277,0.555556
36,0.103351,0.583932,0.777778
37,0.081132,0.340797,0.888889
38,0.228817,0.156182,1.000000
39,0.141343,0.144101,1.000000
40,0.084466,0.086132,1.000000
41,0.026322,0.082693,1.000000
42,0.029731,0.084637,1.000000
43,0.030214,0.116133,1.000000
44,0.041423,0.300210,0.888889
45,0.043822,0.584045,0.555556
46,0.026257,0.151829,1.000000
47,0.170596,1.699161,0.444444
48,0.039083,5.764558,0.444444
49,0.184467,4.599666,0.444444
50,0.069470,0.209736,0.888889
1,0.726210,0.687826,0.555556
2,0.636788,0.690179,0.555556
3,0.513378,0.711178,0.555556
4,0.384241,0.793410,0.555556
5,0.331442,0.827286,0.555556
6,0.294943,0.877842,0.555556
7,0.216666,0.773828,0.555556
8,0.211413,0.841317,0.555556
9,0.198132,0.718699,0.555556
10,0.151925,0.677440,0.555556
11,0.181603,0.691024,0.555556
12,0.142672,0.603890,0.555556
13,0.304593,0.585869,0.555556
14,0.118396,1.152218,0.555556
15,0.213868,1.125493,0.555556
16,0.099118,0.652002,0.555556
17,0.150426,0.516849,0.555556
18,0.131463,0.611471,0.555556
19,0.077869,0.556259,0.666667
20,0.073430,0.385985,0.888889
21,0.054611,0.346674,0.888889
22,0.058360,0.479880,0.666667
23,0.226499,0.361416,0.888889
24,0.059838,0.194712,0.888889
25,0.067946,0.991888,0.555556
26,0.044074,1.619764,0.555556
27,0.042948,0.661657,0.666667
28,0.038878,0.199810,0.888889
29,0.035028,0.195796,0.888889
30,0.032581,0.262443,0.888889
