# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/shakana4.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 18
segment_1: start_time=0.373333s, end_time=1.845333s, duration=1.472000s
segment_2: start_time=2.794667s, end_time=3.333333s, duration=0.538667s
segment_3: start_time=3.621333s, end_time=3.642667s, duration=0.021333s
segment_4: start_time=4.293333s, end_time=4.816000s, duration=0.522667s
segment_5: start_time=5.104000s, end_time=5.162667s, duration=0.058667s
segment_6: start_time=5.712000s, end_time=6.250667s, duration=0.538667s
segment_7: start_time=7.354667s, end_time=7.850667s, duration=0.496000s
segment_8: start_time=8.890667s, end_time=9.418667s, duration=0.528000s
segment_9: start_time=10.474667s, end_time=10.986667s, duration=0.512000s
segment_10: start_time=12.032000s, end_time=12.570667s, duration=0.538667s
segment_11: start_time=12.816000s, end_time=12.826667s, duration=0.010667s
segment_12: start_time=13.568000s, end_time=14.106667s, duration=0.538667s
segment_13: start_time=14.149333s, end_time=14.170667s, duration=0.021333s
segment_14: start_time=14.213333s, end_time=14.282667s, duration=0.069333s
segment_15: start_time=14.624000s, end_time=14.650667s, duration=0.026667s
segment_16: start_time=14.880000s, end_time=14.896000s, duration=0.016000s
segment_17: start_time=15.221333s, end_time=15.781333s, duration=0.560000s
segment_18: start_time=15.877333s, end_time=17.024000s, duration=1.146667s
mean_duration = 0.423111s
