capture_id,landmark_id,x_px,y_px,depth_mm,x_cam_mm,y_cam_mm,z_cam_mm
0,61,310,259,502.00003385543823,-12.516506016254425,9.654506109654903,502.00003385543823
0,185,310,254,500.0,-12.46663834899664,5.508693866431713,500.0
0,40,312,248,498.00002574920654,-10.783872567117214,0.5775575409643352,498.00002574920654
0,39,316,241,498.00002574920654,-7.5180744752287865,-5.149727687239647,498.00002574920654
0,37,324,235,497.0000088214874,-0.984495971351862,-10.038630105555058,497.0000088214874
0,0,332,234,499.00001287460327,5.556255578994751,-10.898854583501816,499.00001287460327
0,267,338,234,502.00003385543823,10.52770484238863,-10.964379645884037,502.00003385543823
0,269,345,239,503.00002098083496,16.321204602718353,-6.854228675365448,503.00002098083496
0,270,348,245,504.0000081062317,18.832510337233543,-1.899607595987618,504.0000081062317
0,409,349,251,504.9999952316284,19.697804003953934,3.07472818531096,504.9999952316284
0,291,347,256,503.00002098083496,17.970498651266098,7.19454325735569,503.00002098083496
0,306,346,256,503.00002098083496,17.145853489637375,7.19454325735569,503.00002098083496
0,308,344,256,502.00003385543823,15.4657494276762,7.1802400052547455,502.00003385543823
0,415,342,254,501.0000467300415,13.792206533253193,5.5197118781507015,501.0000467300415
0,310,341,252,500.0,12.944946996867657,3.8657549303025007,500.0
0,311,339,251,499.00001287460327,11.282878927886486,3.038196824491024,499.00001287460327
0,312,336,250,498.00002574920654,8.81091970950365,2.213924890384078,498.00002574920654
0,13,332,250,497.0000088214874,5.533985793590546,2.209479222074151,497.0000088214874
0,82,327,251,498.00002574920654,1.462872140109539,3.0321083031594753,498.00002574920654
0,81,322,252,498.00002574920654,-2.6193761732429266,3.85029218159616,498.00002574920654
0,80,319,254,498.00002574920654,-5.068725440651178,5.486659239977598,498.00002574920654
0,191,316,256,500.0,-7.548267021775246,7.151633035391569,500.0
0,78,313,259,502.00003385543823,-10.047483257949352,9.654506109654903,502.00003385543823
0,76,311,259,502.00003385543823,-11.693498119711876,9.654506109654903,502.00003385543823
0,146,312,264,503.00002098083496,-10.892144404351711,13.80572933703661,503.00002098083496
0,91,315,269,502.00003385543823,-8.401468396186829,17.902059480547905,502.00003385543823
0,181,320,275,503.00002098083496,-4.294969141483307,22.896111011505127,503.00002098083496
0,84,327,279,507.00002908706665,1.4893095940351486,26.410067453980446,507.00002908706665
0,17,335,279,507.00002908706665,8.138948120176792,26.410067453980446,507.00002908706665
0,314,342,277,508.0000162124634,13.984911143779755,24.792931973934174,508.0000162124634
0,405,347,272,506.0000419616699,18.077678978443146,20.538687705993652,506.0000419616699
0,321,348,265,504.9999952316284,18.869876861572266,14.690306037664413,504.9999952316284
0,375,348,260,504.9999952316284,18.869876861572266,10.5418860912323,504.9999952316284
0,324,343,258,502.00003385543823,14.642743393778801,8.829751051962376,502.00003385543823
0,318,342,259,502.00003385543823,13.819735497236252,9.654506109654903,502.00003385543823
0,402,341,261,502.00003385543823,12.996727600693703,11.304017156362534,502.00003385543823
0,317,338,262,502.00003385543823,10.52770484238863,12.128772214055061,502.00003385543823
0,14,334,263,503.00002098083496,7.250088267028332,12.97933142632246,503.00002098083496
0,87,328,263,503.00002098083496,2.302206587046385,12.97933142632246,503.00002098083496
0,178,324,262,502.00003385543823,-0.9944004705175757,12.128772214055061,502.00003385543823
0,88,320,261,501.0000467300415,-4.27789194509387,11.28149963915348,501.0000467300415
0,95,317,260,501.0000467300415,-6.741996388882399,10.45838650316,501.0000467300415
1,61,259,244,521.0000276565552,-56.552257388830185,-2.8196529019623995,521.0000276565552
1,185,259,239,520.0000405311584,-56.4437136054039,-7.085882592946291,520.0000405311584
1,40,260,232,520.0000405311584,-55.59119209647179,-13.066180981695652,520.0000405311584
1,39,263,225,519.0000534057617,-52.93165519833565,-19.009850919246674,519.0000534057617
