grid,mean_test_accuracy
5,0.8240000000000001
10,0.8133333333333332
15,0.8346666666666668
20,0.8320000000000001
25,0.8453333333333333
30,0.8640000000000001
35,0.8293333333333333
40,0.8480000000000001
45,0.8480000000000001
50,0.8453333333333333
