# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 16
segment_1: start_time=0.384000s, end_time=2.053333s, duration=1.669333s
segment_2: start_time=2.896000s, end_time=3.456000s, duration=0.560000s
segment_3: start_time=4.384000s, end_time=4.512000s, duration=0.128000s
segment_4: start_time=4.538667s, end_time=4.901333s, duration=0.362667s
segment_5: start_time=5.866667s, end_time=6.005333s, duration=0.138667s
segment_6: start_time=6.021333s, end_time=6.394667s, duration=0.373333s
segment_7: start_time=7.349333s, end_time=7.488000s, duration=0.138667s
segment_8: start_time=7.498667s, end_time=7.872000s, duration=0.373333s
segment_9: start_time=8.842667s, end_time=9.381333s, duration=0.538667s
segment_10: start_time=10.394667s, end_time=10.533333s, duration=0.138667s
segment_11: start_time=10.554667s, end_time=10.922667s, duration=0.368000s
segment_12: start_time=11.930667s, end_time=12.064000s, duration=0.133333s
segment_13: start_time=12.074667s, end_time=12.453333s, duration=0.378667s
segment_14: start_time=13.450667s, end_time=14.021333s, duration=0.570667s
segment_15: start_time=14.906667s, end_time=14.986667s, duration=0.080000s
segment_16: start_time=15.024000s, end_time=16.741333s, duration=1.717333s
mean_duration = 0.479333s
