timestamp,pred_label,pred_pct,p_sakana,p_shakana,p_takana,p_thakana,p_tyakana
2026-02-04 14:51:11,sakana,40.3,40.294,6.454,21.814,25.050,6.388
2026-02-04 14:51:41,sakana,36.3,36.336,7.678,22.067,26.007,7.912
2026-02-04 14:51:54,sakana,33.9,33.896,7.905,25.795,24.767,7.637
