# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/shakana2.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 19
segment_1: start_time=0.378667s, end_time=1.845333s, duration=1.466667s
segment_2: start_time=2.490667s, end_time=2.549333s, duration=0.058667s
segment_3: start_time=2.736000s, end_time=2.928000s, duration=0.192000s
segment_4: start_time=2.938667s, end_time=3.264000s, duration=0.325333s
segment_5: start_time=4.298667s, end_time=4.496000s, duration=0.197333s
segment_6: start_time=4.517333s, end_time=4.826667s, duration=0.309333s
segment_7: start_time=5.888000s, end_time=6.405333s, duration=0.517333s
segment_8: start_time=7.408000s, end_time=7.584000s, duration=0.176000s
segment_9: start_time=7.610667s, end_time=7.941333s, duration=0.330667s
segment_10: start_time=8.944000s, end_time=9.093333s, duration=0.149333s
segment_11: start_time=9.114667s, end_time=9.456000s, duration=0.341333s
segment_12: start_time=10.464000s, end_time=10.645333s, duration=0.181333s
segment_13: start_time=10.672000s, end_time=10.970667s, duration=0.298667s
segment_14: start_time=12.037333s, end_time=12.218667s, duration=0.181333s
segment_15: start_time=12.245333s, end_time=12.560000s, duration=0.314667s
segment_16: start_time=12.784000s, end_time=12.821333s, duration=0.037333s
segment_17: start_time=13.541333s, end_time=14.106667s, duration=0.565333s
segment_18: start_time=14.965333s, end_time=15.541333s, duration=0.576000s
segment_19: start_time=15.898667s, end_time=16.805333s, duration=0.906667s
mean_duration = 0.375018s
