# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: shakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 16
segment_1: start_time=0.384000s, end_time=1.856000s, duration=1.472000s
segment_2: start_time=2.741333s, end_time=3.328000s, duration=0.586667s
segment_3: start_time=4.218667s, end_time=4.805333s, duration=0.586667s
segment_4: start_time=5.722667s, end_time=5.936000s, duration=0.213333s
segment_5: start_time=5.968000s, end_time=6.314667s, duration=0.346667s
segment_6: start_time=7.402667s, end_time=7.616000s, duration=0.213333s
segment_7: start_time=7.637333s, end_time=7.978667s, duration=0.341333s
segment_8: start_time=8.992000s, end_time=9.173333s, duration=0.181333s
segment_9: start_time=9.189333s, end_time=9.610667s, duration=0.421333s
segment_10: start_time=10.597333s, end_time=10.757333s, duration=0.160000s
segment_11: start_time=10.773333s, end_time=11.141333s, duration=0.368000s
segment_12: start_time=12.176000s, end_time=12.389333s, duration=0.213333s
segment_13: start_time=12.416000s, end_time=12.773333s, duration=0.357333s
segment_14: start_time=13.786667s, end_time=14.384000s, duration=0.597333s
segment_15: start_time=15.258667s, end_time=15.904000s, duration=0.645333s
segment_16: start_time=16.176000s, end_time=16.885333s, duration=0.709333s
mean_duration = 0.463333s
