# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=0.389333s, end_time=1.781333s, duration=1.392000s
segment_2: start_time=1.872000s, end_time=1.882667s, duration=0.010667s
segment_3: start_time=2.842667s, end_time=3.333333s, duration=0.490667s
segment_4: start_time=4.298667s, end_time=4.810667s, duration=0.512000s
segment_5: start_time=5.829333s, end_time=5.994667s, duration=0.165333s
segment_6: start_time=6.005333s, end_time=6.346667s, duration=0.341333s
segment_7: start_time=7.370667s, end_time=7.514667s, duration=0.144000s
segment_8: start_time=7.536000s, end_time=7.856000s, duration=0.320000s
segment_9: start_time=8.949333s, end_time=9.088000s, duration=0.138667s
segment_10: start_time=9.120000s, end_time=9.434667s, duration=0.314667s
segment_11: start_time=10.501333s, end_time=10.672000s, duration=0.170667s
segment_12: start_time=10.693333s, end_time=11.013333s, duration=0.320000s
segment_13: start_time=12.037333s, end_time=12.186667s, duration=0.149333s
segment_14: start_time=12.229333s, end_time=12.538667s, duration=0.309333s
segment_15: start_time=13.349333s, end_time=13.370667s, duration=0.021333s
segment_16: start_time=13.594667s, end_time=14.090667s, duration=0.496000s
segment_17: start_time=14.970667s, end_time=14.981333s, duration=0.010667s
segment_18: start_time=15.008000s, end_time=15.093333s, duration=0.085333s
segment_19: start_time=15.125333s, end_time=15.626667s, duration=0.501333s
segment_20: start_time=15.914667s, end_time=15.978667s, duration=0.064000s
segment_21: start_time=15.994667s, end_time=16.810667s, duration=0.816000s
mean_duration = 0.322540s
