# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/tyakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 16
segment_1: start_time=0.394667s, end_time=1.845333s, duration=1.450667s
segment_2: start_time=2.762667s, end_time=3.306667s, duration=0.544000s
segment_3: start_time=4.261333s, end_time=4.784000s, duration=0.522667s
segment_4: start_time=4.864000s, end_time=4.890667s, duration=0.026667s
segment_5: start_time=5.312000s, end_time=5.370667s, duration=0.058667s
segment_6: start_time=5.866667s, end_time=6.368000s, duration=0.501333s
segment_7: start_time=7.344000s, end_time=7.850667s, duration=0.506667s
segment_8: start_time=8.816000s, end_time=8.965333s, duration=0.149333s
segment_9: start_time=8.981333s, end_time=9.344000s, duration=0.362667s
segment_10: start_time=10.442667s, end_time=10.960000s, duration=0.517333s
segment_11: start_time=11.589333s, end_time=11.637333s, duration=0.048000s
segment_12: start_time=11.952000s, end_time=12.458667s, duration=0.506667s
segment_13: start_time=13.520000s, end_time=14.048000s, duration=0.528000s
segment_14: start_time=15.082667s, end_time=15.632000s, duration=0.549333s
segment_15: start_time=15.637333s, end_time=15.765333s, duration=0.128000s
segment_16: start_time=15.808000s, end_time=16.944000s, duration=1.136000s
mean_duration = 0.471000s
