# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 26
segment_1: start_time=0.400000s, end_time=1.877333s, duration=1.477333s
segment_2: start_time=2.181333s, end_time=2.202667s, duration=0.021333s
segment_3: start_time=2.784000s, end_time=3.034667s, duration=0.250667s
segment_4: start_time=3.066667s, end_time=3.365333s, duration=0.298667s
segment_5: start_time=4.282667s, end_time=4.549333s, duration=0.266667s
segment_6: start_time=4.576000s, end_time=4.890667s, duration=0.314667s
segment_7: start_time=5.813333s, end_time=6.080000s, duration=0.266667s
segment_8: start_time=6.112000s, end_time=6.453333s, duration=0.341333s
segment_9: start_time=7.338667s, end_time=7.578667s, duration=0.240000s
segment_10: start_time=7.605333s, end_time=7.920000s, duration=0.314667s
segment_11: start_time=8.800000s, end_time=9.040000s, duration=0.240000s
segment_12: start_time=9.072000s, end_time=9.386667s, duration=0.314667s
segment_13: start_time=10.389333s, end_time=10.618667s, duration=0.229333s
segment_14: start_time=10.656000s, end_time=10.970667s, duration=0.314667s
segment_15: start_time=11.877333s, end_time=12.128000s, duration=0.250667s
segment_16: start_time=12.160000s, end_time=12.469333s, duration=0.309333s
segment_17: start_time=12.976000s, end_time=13.029333s, duration=0.053333s
segment_18: start_time=13.050667s, end_time=13.077333s, duration=0.026667s
segment_19: start_time=13.290667s, end_time=13.301333s, duration=0.010667s
segment_20: start_time=13.306667s, end_time=13.562667s, duration=0.256000s
segment_21: start_time=13.578667s, end_time=13.898667s, duration=0.320000s
segment_22: start_time=14.730667s, end_time=14.746667s, duration=0.016000s
segment_23: start_time=14.768000s, end_time=14.789333s, duration=0.021333s
segment_24: start_time=14.965333s, end_time=15.552000s, duration=0.586667s
segment_25: start_time=15.786667s, end_time=15.834667s, duration=0.048000s
segment_26: start_time=15.856000s, end_time=16.741333s, duration=0.885333s
mean_duration = 0.295179s
