band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.8422857142857142,0.8426666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.846857142857143,0.8586666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.8537142857142858,0.8666666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.8617142857142858,0.872,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.8594285714285714,0.872,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.8582857142857142,0.88,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
10.0,800,0.8617142857142858,0.88,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
15.0,534,0.8582857142857143,0.888,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
20.0,400,0.8640000000000001,0.888,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
25.0,320,0.8537142857142858,0.88,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
30.0,267,0.854857142857143,0.8746666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
35.0,229,0.8525714285714286,0.88,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
40.0,200,0.8457142857142858,0.8826666666666667,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
45.0,178,0.8480000000000001,0.8666666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
50.0,160,0.8434285714285714,0.8773333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
55.0,146,0.8400000000000001,0.864,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
60.0,134,0.8297142857142857,0.888,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
65.0,124,0.8297142857142857,0.872,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
70.0,115,0.8251428571428571,0.8613333333333333,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
75.0,107,0.8285714285714285,0.872,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
80.0,100,0.8274285714285714,0.856,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
85.0,95,0.8274285714285714,0.8746666666666667,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
90.0,89,0.8205714285714286,0.8453333333333334,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
95.0,85,0.8194285714285716,0.8506666666666667,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
100.0,80,0.8137142857142857,0.8533333333333334,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
200.0,40,0.7782857142857142,0.8053333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
300.0,27,0.7748571428571429,0.7813333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
400.0,20,0.7302857142857142,0.7706666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
500.0,16,0.6891428571428573,0.7253333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
600.0,14,0.6971428571428573,0.704,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
700.0,12,0.6811428571428572,0.6906666666666667,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
800.0,10,0.648,0.6826666666666666,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
900.0,9,0.64,0.6613333333333333,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
1000.0,8,0.6194285714285714,0.624,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
