# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.400000s, end_time=1.194667s, duration=0.794667s
segment_2: start_time=1.210667s, end_time=1.365333s, duration=0.154667s
segment_3: start_time=1.376000s, end_time=2.037333s, duration=0.661333s
segment_4: start_time=2.474667s, end_time=2.533333s, duration=0.058667s
segment_5: start_time=2.821333s, end_time=2.837333s, duration=0.016000s
segment_6: start_time=2.981333s, end_time=3.189333s, duration=0.208000s
segment_7: start_time=3.200000s, end_time=3.546667s, duration=0.346667s
segment_8: start_time=4.565333s, end_time=4.736000s, duration=0.170667s
segment_9: start_time=4.768000s, end_time=5.104000s, duration=0.336000s
segment_10: start_time=6.096000s, end_time=6.266667s, duration=0.170667s
segment_11: start_time=6.288000s, end_time=6.640000s, duration=0.352000s
segment_12: start_time=7.690667s, end_time=7.882667s, duration=0.192000s
segment_13: start_time=7.893333s, end_time=8.256000s, duration=0.362667s
segment_14: start_time=9.248000s, end_time=9.418667s, duration=0.170667s
segment_15: start_time=9.445333s, end_time=9.797333s, duration=0.352000s
segment_16: start_time=10.858667s, end_time=11.008000s, duration=0.149333s
segment_17: start_time=11.050667s, end_time=11.381333s, duration=0.330667s
segment_18: start_time=12.373333s, end_time=12.906667s, duration=0.533333s
segment_19: start_time=13.877333s, end_time=14.080000s, duration=0.202667s
segment_20: start_time=14.090667s, end_time=14.442667s, duration=0.352000s
segment_21: start_time=15.472000s, end_time=16.186667s, duration=0.714667s
segment_22: start_time=16.208000s, end_time=17.093333s, duration=0.885333s
mean_duration = 0.341576s
