grid,mean_test_accuracy
5,0.8106666666666668
10,0.8560000000000001
15,0.8746666666666666
20,0.8853333333333333
25,0.8933333333333333
30,0.8960000000000001
35,0.8933333333333333
40,0.8879999999999999
45,0.8933333333333333
50,0.8906666666666666
