epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,356.745,1.60634,0.18919,1,1.59261,0.00019998,0.00019998,0.00019998
2,709.852,1.57817,0.35135,1,1.51963,0.000407,0.000407,0.000407
3,1062.24,1.58499,0.25676,1,1.54218,0.000609841,0.000609841,0.000609841
4,1443.24,1.54926,0.24324,1,1.61301,0.000808502,0.000808502,0.000808502
5,1821.05,1.58575,0.25676,1,1.82111,0.00100298,0.00100298,0.00100298
6,2199.6,1.53441,0.25676,1,1.67629,0.00105601,0.00105601,0.00105601
7,2577.77,1.49463,0.35135,1,1.53053,0.00104501,0.00104501,0.00104501
8,2955.76,1.55121,0.2973,1,1.49177,0.00103401,0.00103401,0.00103401
9,3332.11,1.52008,0.43243,1,1.43586,0.00102301,0.00102301,0.00102301
10,3709.78,1.46115,0.36486,1,1.40941,0.00101201,0.00101201,0.00101201
11,4085.21,1.48615,0.2973,1,1.74982,0.00100101,0.00100101,0.00100101
12,4462.17,1.45891,0.36486,1,1.51038,0.000990012,0.000990012,0.000990012
13,4837.67,1.44966,0.32432,1,2.40461,0.000979013,0.000979013,0.000979013
14,5213.44,1.41847,0.22973,1,1.7756,0.000968014,0.000968014,0.000968014
15,5589.84,1.4315,0.39189,1,1.4257,0.000957015,0.000957015,0.000957015
16,5965.34,1.33373,0.37838,1,1.44848,0.000946016,0.000946016,0.000946016
17,6343.29,1.35089,0.27027,1,1.92645,0.000935018,0.000935018,0.000935018
18,6719.67,1.4542,0.37838,1,1.41791,0.000924019,0.000924019,0.000924019
19,7095.2,1.36194,0.39189,1,1.39364,0.00091302,0.00091302,0.00091302
20,7471.48,1.40459,0.35135,1,1.52418,0.000902021,0.000902021,0.000902021
21,7847.33,1.37059,0.40541,1,1.45544,0.000891022,0.000891022,0.000891022
22,8225.16,1.23351,0.44595,1,1.31808,0.000880023,0.000880023,0.000880023
23,8601.37,1.29541,0.37838,1,1.85279,0.000869024,0.000869024,0.000869024
24,8976.68,1.25056,0.35135,1,1.40593,0.000858025,0.000858025,0.000858025
25,9351.98,1.24871,0.36486,1,1.45512,0.000847026,0.000847026,0.000847026
26,9728.22,1.17789,0.51351,1,1.48624,0.000836027,0.000836027,0.000836027
27,10106.5,1.21208,0.51351,1,1.25065,0.000825029,0.000825029,0.000825029
28,10484,1.23547,0.48649,1,1.42814,0.00081403,0.00081403,0.00081403
29,10859.7,1.15183,0.51351,1,1.13512,0.000803031,0.000803031,0.000803031
30,11235.2,1.11909,0.43243,1,1.20955,0.000792032,0.000792032,0.000792032
31,11612.6,1.14679,0.44595,1,1.43839,0.000781033,0.000781033,0.000781033
32,11990,1.11892,0.52703,1,1.11895,0.000770034,0.000770034,0.000770034
33,12367.2,1.04855,0.43243,1,1.77319,0.000759035,0.000759035,0.000759035
