# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/takana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.394667s, end_time=1.290667s, duration=0.896000s
segment_2: start_time=1.317333s, end_time=1.962667s, duration=0.645333s
segment_3: start_time=2.965333s, end_time=3.130667s, duration=0.165333s
segment_4: start_time=3.141333s, end_time=3.514667s, duration=0.373333s
segment_5: start_time=4.602667s, end_time=4.725333s, duration=0.122667s
segment_6: start_time=4.762667s, end_time=5.093333s, duration=0.330667s
segment_7: start_time=6.213333s, end_time=6.325333s, duration=0.112000s
segment_8: start_time=6.357333s, end_time=6.693333s, duration=0.336000s
segment_9: start_time=7.808000s, end_time=7.930667s, duration=0.122667s
segment_10: start_time=7.978667s, end_time=8.314667s, duration=0.336000s
segment_11: start_time=9.370667s, end_time=9.482667s, duration=0.112000s
segment_12: start_time=9.525333s, end_time=9.877333s, duration=0.352000s
segment_13: start_time=11.008000s, end_time=11.109333s, duration=0.101333s
segment_14: start_time=11.146667s, end_time=11.493333s, duration=0.346667s
segment_15: start_time=12.533333s, end_time=12.650667s, duration=0.117333s
segment_16: start_time=12.677333s, end_time=13.045333s, duration=0.368000s
segment_17: start_time=13.205333s, end_time=13.274667s, duration=0.069333s
segment_18: start_time=13.669333s, end_time=13.733333s, duration=0.064000s
segment_19: start_time=14.053333s, end_time=14.592000s, duration=0.538667s
segment_20: start_time=15.109333s, end_time=15.125333s, duration=0.016000s
segment_21: start_time=15.296000s, end_time=15.360000s, duration=0.064000s
segment_22: start_time=15.621333s, end_time=17.104000s, duration=1.482667s
mean_duration = 0.321455s
