band_hz,feature_dim,accuracy
1.0,8000,0.76
2.0,4000,0.74
3.0,2667,0.72
4.0,2000,0.72
5.0,1600,0.72
10.0,800,0.74
20.0,400,0.78
25.0,320,0.78
30.0,267,0.8
40.0,200,0.78
50.0,160,0.82
60.0,134,0.84
70.0,115,0.82
80.0,100,0.8
100.0,80,0.88
