# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/takana1.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 28
segment_1: start_time=0.400000s, end_time=1.226667s, duration=0.826667s
segment_2: start_time=1.269333s, end_time=1.333333s, duration=0.064000s
segment_3: start_time=1.344000s, end_time=1.354667s, duration=0.010667s
segment_4: start_time=1.381333s, end_time=1.498667s, duration=0.117333s
segment_5: start_time=1.514667s, end_time=1.706667s, duration=0.192000s
segment_6: start_time=1.722667s, end_time=2.069333s, duration=0.346667s
segment_7: start_time=2.346667s, end_time=2.400000s, duration=0.053333s
segment_8: start_time=2.954667s, end_time=3.082667s, duration=0.128000s
segment_9: start_time=3.109333s, end_time=3.461333s, duration=0.352000s
segment_10: start_time=4.560000s, end_time=4.666667s, duration=0.106667s
segment_11: start_time=4.698667s, end_time=5.040000s, duration=0.341333s
segment_12: start_time=6.181333s, end_time=6.304000s, duration=0.122667s
segment_13: start_time=6.330667s, end_time=6.656000s, duration=0.325333s
segment_14: start_time=7.477333s, end_time=7.514667s, duration=0.037333s
segment_15: start_time=7.712000s, end_time=7.824000s, duration=0.112000s
segment_16: start_time=7.866667s, end_time=8.186667s, duration=0.320000s
segment_17: start_time=9.253333s, end_time=9.365333s, duration=0.112000s
segment_18: start_time=9.402667s, end_time=9.733333s, duration=0.330667s
segment_19: start_time=10.864000s, end_time=10.981333s, duration=0.117333s
segment_20: start_time=11.018667s, end_time=11.349333s, duration=0.330667s
segment_21: start_time=12.400000s, end_time=12.901333s, duration=0.501333s
segment_22: start_time=13.968000s, end_time=14.080000s, duration=0.112000s
segment_23: start_time=14.106667s, end_time=14.469333s, duration=0.362667s
segment_24: start_time=15.178667s, end_time=15.189333s, duration=0.010667s
segment_25: start_time=15.541333s, end_time=16.096000s, duration=0.554667s
segment_26: start_time=16.106667s, end_time=16.122667s, duration=0.016000s
segment_27: start_time=16.144000s, end_time=16.154667s, duration=0.010667s
segment_28: start_time=16.176000s, end_time=17.104000s, duration=0.928000s
mean_duration = 0.244381s
