# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/takana4.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 25
segment_1: start_time=0.368000s, end_time=2.026667s, duration=1.658667s
segment_2: start_time=2.682667s, end_time=2.709333s, duration=0.026667s
segment_3: start_time=2.800000s, end_time=3.034667s, duration=0.234667s
segment_4: start_time=3.040000s, end_time=3.461333s, duration=0.421333s
segment_5: start_time=4.362667s, end_time=4.709333s, duration=0.346667s
segment_6: start_time=4.730667s, end_time=4.922667s, duration=0.192000s
segment_7: start_time=5.834667s, end_time=5.952000s, duration=0.117333s
segment_8: start_time=6.016000s, end_time=6.442667s, duration=0.426667s
segment_9: start_time=7.445333s, end_time=7.573333s, duration=0.128000s
segment_10: start_time=7.594667s, end_time=7.770667s, duration=0.176000s
segment_11: start_time=7.781333s, end_time=8.005333s, duration=0.224000s
segment_12: start_time=9.002667s, end_time=9.136000s, duration=0.133333s
segment_13: start_time=9.173333s, end_time=9.360000s, duration=0.186667s
segment_14: start_time=9.376000s, end_time=9.605333s, duration=0.229333s
segment_15: start_time=10.576000s, end_time=10.714667s, duration=0.138667s
segment_16: start_time=10.741333s, end_time=11.178667s, duration=0.437333s
segment_17: start_time=12.074667s, end_time=12.202667s, duration=0.128000s
segment_18: start_time=12.234667s, end_time=12.410667s, duration=0.176000s
segment_19: start_time=12.426667s, end_time=12.672000s, duration=0.245333s
segment_20: start_time=13.312000s, end_time=13.333333s, duration=0.021333s
segment_21: start_time=13.610667s, end_time=14.240000s, duration=0.629333s
segment_22: start_time=14.746667s, end_time=14.794667s, duration=0.048000s
segment_23: start_time=14.922667s, end_time=15.050667s, duration=0.128000s
segment_24: start_time=15.109333s, end_time=15.845333s, duration=0.736000s
segment_25: start_time=15.984000s, end_time=16.661333s, duration=0.677333s
mean_duration = 0.314667s
