band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.8,0.78,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.7949999999999999,0.78,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.7899999999999999,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.7999999999999999,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.8100000000000002,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.8099999999999999,0.86,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
10.0,800,0.8099999999999999,0.86,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
15.0,534,0.8099999999999999,0.88,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
20.0,400,0.805,0.88,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
25.0,320,0.795,0.88,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
30.0,267,0.805,0.88,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
35.0,229,0.8150000000000001,0.86,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
40.0,200,0.805,0.9,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
45.0,178,0.8150000000000001,0.86,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
50.0,160,0.79,0.88,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
55.0,146,0.8049999999999999,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
60.0,134,0.78,0.88,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
65.0,124,0.8049999999999999,0.94,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
70.0,115,0.8049999999999999,0.88,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
75.0,107,0.7849999999999999,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
80.0,100,0.8099999999999999,0.88,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
85.0,95,0.7949999999999999,0.92,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
90.0,89,0.79,0.9,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
95.0,85,0.7849999999999999,0.9,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
100.0,80,0.79,0.94,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
200.0,40,0.75,0.84,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
300.0,27,0.72,0.86,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
400.0,20,0.68,0.82,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
500.0,16,0.6849999999999999,0.8,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
600.0,14,0.6900000000000001,0.74,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
700.0,12,0.655,0.78,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
800.0,10,0.635,0.76,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
900.0,9,0.625,0.76,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
1000.0,8,0.665,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
