# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana1.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.362667s, end_time=1.386667s, duration=1.024000s
segment_2: start_time=1.402667s, end_time=2.085333s, duration=0.682667s
segment_3: start_time=2.154667s, end_time=2.186667s, duration=0.032000s
segment_4: start_time=2.336000s, end_time=2.400000s, duration=0.064000s
segment_5: start_time=2.949333s, end_time=3.477333s, duration=0.528000s
segment_6: start_time=4.362667s, end_time=4.917333s, duration=0.554667s
segment_7: start_time=5.920000s, end_time=6.410667s, duration=0.490667s
segment_8: start_time=7.525333s, end_time=8.048000s, duration=0.522667s
segment_9: start_time=9.082667s, end_time=9.632000s, duration=0.549333s
segment_10: start_time=10.688000s, end_time=10.778667s, duration=0.090667s
segment_11: start_time=10.789333s, end_time=11.200000s, duration=0.410667s
segment_12: start_time=12.186667s, end_time=12.693333s, duration=0.506667s
segment_13: start_time=13.200000s, end_time=13.306667s, duration=0.106667s
segment_14: start_time=13.573333s, end_time=13.642667s, duration=0.069333s
segment_15: start_time=13.690667s, end_time=13.701333s, duration=0.010667s
segment_16: start_time=13.712000s, end_time=14.250667s, duration=0.538667s
segment_17: start_time=14.682667s, end_time=14.693333s, duration=0.010667s
segment_18: start_time=14.880000s, end_time=14.890667s, duration=0.010667s
segment_19: start_time=14.912000s, end_time=14.922667s, duration=0.010667s
segment_20: start_time=15.066667s, end_time=15.088000s, duration=0.021333s
segment_21: start_time=15.184000s, end_time=15.989333s, duration=0.805333s
segment_22: start_time=16.010667s, end_time=16.965333s, duration=0.954667s
mean_duration = 0.363394s
